# Mimaki 3DUJ-safe color manifest
# ICC profile     : C:\Windows\System32\spool\drivers\color\CoatedFOGRA39.icc
# deltaE threshold: 0.75
# Safe chromatic  : 188
# K-ramp added    : 7
# Total swatches  : 195
# Sorted by hue.
# Columns: NAME | #HEX | RGB | CMYK% | dE
#--------------------------------------------------------------------------------------------
mid-dusty-teal-04          | #219493 | RGB( 33,148,147) | CMYK( 80, 20, 45,  4)% | dE=0.66
soft-dusty-teal-03         | #4AB3B1 | RGB( 74,179,177) | CMYK( 69,  5, 36,  0)% | dE=0.66
soft-dusty-teal            | #43B2BF | RGB( 67,178,191) | CMYK( 69,  7, 27,  0)% | dE=0.00
mid-dusty-teal-03          | #1093A0 | RGB( 16,147,160) | CMYK( 81, 21, 36,  5)% | dE=0.57
mid-dusty-teal             | #618D93 | RGB( 97,141,147) | CMYK( 65, 30, 37, 11)% | dE=0.00
mid-dusty-cyan             | #1692AB | RGB( 22,146,171) | CMYK( 80, 23, 27,  5)% | dE=0.50
soft-dusty-cyan            | #46B0CB | RGB( 70,176,203) | CMYK( 68, 10, 18,  0)% | dE=0.32
soft-dusty-cyan-04         | #80AAB7 | RGB(128,170,183) | CMYK( 54, 22, 25,  3)% | dE=0.66
soft-dusty-cyan-05         | #9FC9D7 | RGB(159,201,215) | CMYK( 42, 10, 15,  0)% | dE=0.66
mid-dusty-cyan-02          | #2D8FB4 | RGB( 45,143,180) | CMYK( 78, 29, 19,  4)% | dE=0.65
soft-dusty-cyan-02         | #54AED4 | RGB( 84,174,212) | CMYK( 65, 15, 11,  0)% | dE=0.44
soft-dusty-cyan-03         | #77CDF4 | RGB(119,205,244) | CMYK( 53,  1,  1,  0)% | dE=0.66
mid-dusty-blue-03          | #6E899F | RGB(110,137,159) | CMYK( 62, 38, 27,  9)% | dE=0.60
mid-dusty-blue             | #1E6F9B | RGB( 30,111,155) | CMYK( 87, 49, 21,  6)% | dE=0.00
mid-dusty-blue-04          | #468CBA | RGB( 70,140,186) | CMYK( 74, 36, 13,  2)% | dE=0.73
soft-dusty-blue            | #67AAD9 | RGB(103,170,217) | CMYK( 62, 22,  3,  0)% | dE=0.00
deep-dusty-blue-02         | #23354A | RGB( 35, 53, 74) | CMYK( 98, 78, 45, 50)% | dE=0.28
deep-dusty-blue-03         | #1A507F | RGB( 26, 80,127) | CMYK( 99, 70, 26, 11)% | dE=0.73
mid-dusty-blue-02          | #3E6B9D | RGB( 62,107,157) | CMYK( 83, 55, 17,  3)% | dE=0.37
mid-dusty-blue-05          | #5E88BC | RGB( 94,136,188) | CMYK( 69, 42,  8,  0)% | dE=0.74
deep-dusty-blue            | #3E4E66 | RGB( 62, 78,102) | CMYK( 83, 65, 39, 30)% | dE=0.00
deep-fair-indigo-02        | #184B96 | RGB( 24, 75,150) | CMYK(100, 77,  8,  0)% | dE=0.73
deep-dusty-indigo-03       | #394C7D | RGB( 57, 76,125) | CMYK( 91, 76, 24, 10)% | dE=0.51
deep-dusty-indigo          | #2C334A | RGB( 44, 51, 74) | CMYK( 95, 84, 43, 49)% | dE=0.00
mid-dusty-indigo           | #7F84A0 | RGB(127,132,160) | CMYK( 56, 45, 23,  6)% | dE=0.37
soft-dusty-indigo-02       | #9DA2BF | RGB(157,162,191) | CMYK( 44, 35, 14,  1)% | dE=0.64
deep-dusty-indigo-02       | #474C65 | RGB( 71, 76,101) | CMYK( 79, 68, 38, 30)% | dE=0.31
soft-dusty-indigo          | #BCC1DE | RGB(188,193,222) | CMYK( 30, 23,  4,  0)% | dE=0.00
deep-fair-indigo           | #4A438E | RGB( 74, 67,142) | CMYK( 88, 85,  4,  0)% | dE=0.00
deep-dusty-violet-02       | #4E4778 | RGB( 78, 71,120) | CMYK( 83, 81, 25, 11)% | dE=0.31
mid-dusty-violet-04        | #6B6296 | RGB(107, 98,150) | CMYK( 69, 66, 16,  2)% | dE=0.73
deep-dusty-violet-03       | #353047 | RGB( 53, 48, 71) | CMYK( 88, 87, 42, 51)% | dE=0.71
mid-dusty-violet-02        | #88829D | RGB(136,130,157) | CMYK( 52, 48, 24,  7)% | dE=0.71
deep-fair-violet           | #663A82 | RGB(102, 58,130) | CMYK( 75, 94, 10,  2)% | dE=0.51
deep-dusty-violet          | #5F4271 | RGB( 95, 66,113) | CMYK( 73, 85, 27, 15)% | dE=0.00
mid-dusty-violet           | #7C5D8E | RGB(124, 93,142) | CMYK( 61, 71, 19,  4)% | dE=0.60
mid-dusty-violet-03        | #9A79AC | RGB(154,121,172) | CMYK( 47, 59,  7,  0)% | dE=0.71
mid-gray-violet            | #908099 | RGB(144,128,153) | CMYK( 49, 50, 25,  7)% | dE=0.00
soft-gray-violet-02        | #AF9EB8 | RGB(175,158,184) | CMYK( 36, 40, 16,  1)% | dE=0.31
soft-gray-violet           | #CEBCD7 | RGB(206,188,215) | CMYK( 22, 29,  5,  0)% | dE=0.00
deep-dusty-magenta         | #5D465A | RGB( 93, 70, 90) | CMYK( 63, 73, 41, 37)% | dE=0.00
mid-dusty-magenta-02       | #895883 | RGB(137, 88,131) | CMYK( 53, 74, 24,  7)% | dE=0.58
mid-fair-magenta           | #984D91 | RGB(152, 77,145) | CMYK( 49, 82,  6,  0)% | dE=0.39
mid-dusty-magenta-03       | #977E93 | RGB(151,126,147) | CMYK( 44, 52, 27,  9)% | dE=0.68
deep-fair-magenta          | #793073 | RGB(121, 48,115) | CMYK( 63,100, 18,  7)% | dE=0.39
mid-dusty-magenta          | #A875A1 | RGB(168,117,161) | CMYK( 40, 63, 14,  1)% | dE=0.49
soft-dusty-magenta         | #C793C0 | RGB(199,147,192) | CMYK( 24, 51,  2,  0)% | dE=0.00
deep-dusty-magenta-02      | #624554 | RGB( 98, 69, 84) | CMYK( 55, 72, 43, 43)% | dE=0.00
deep-dusty-magenta-03      | #75395B | RGB(117, 57, 91) | CMYK( 51, 87, 33, 31)% | dE=0.54
deep-fair-magenta-02       | #862862 | RGB(134, 40, 98) | CMYK( 47,100, 24, 20)% | dE=0.58
mid-dusty-magenta-04       | #B27294 | RGB(178,114,148) | CMYK( 33, 64, 21,  4)% | dE=0.69
mid-fair-magenta-02        | #C6649C | RGB(198,100,156) | CMYK( 23, 74,  7,  0)% | dE=0.50
soft-dusty-magenta-04      | #BC9AAB | RGB(188,154,171) | CMYK( 29, 44, 21,  4)% | dE=0.71
